"confid","iso3c","country","conflict","years","length","yrstart","yrend"
"365","IND","India",1,"1990 - 1990",1,1990,1990
"365","IND","India",0,"1991 - 1993",3,1991,1993
"365","IND","India",1,"1994 - 1994",1,1994,1994
"365","IND","India",0,"2011 - 2019",9,2011,2019
"366","IDN","Indonesia",1,"1990 - 1990",1,1990,1990
"366","IDN","Indonesia",0,"1992 - 1998",7,1992,1998
"366","IDN","Indonesia",1,"1999 - 1999",1,1999,1999
"366","IDN","Indonesia",0,"2006 - 2019",14,2006,2019
"367","PAN","Panama",1,"1989 - 1989",1,1989,1989
"367","PAN","Panama",0,"1990 - 2019",30,1990,2019
"369","PNG","Papua New Guinea",1,"1990 - 1990",1,1990,1990
"369","PNG","Papua New Guinea",0,"1997 - 2019",23,1997,2019
"370","ROU","Romania",1,"1989 - 1989",1,1989,1989
"370","ROU","Romania",0,"1990 - 2019",30,1990,2019
"372","MLI","Mali",1,"1990 - 1990",1,1990,1990
"372","MLI","Mali",0,"1992 - 1993",2,1992,1993
"372","MLI","Mali",1,"1994 - 1994",1,1994,1994
"372","MLI","Mali",0,"1995 - 2006",12,1995,2006
"372","MLI","Mali",1,"2007 - 2007",1,2007,2007
"372","MLI","Mali",0,"2010 - 2011",2,2010,2011
"372","MLI","Mali",1,"2012 - 2012",1,2012,2012
"372","MLI","Mali",0,"2016 - 2019",4,2016,2019
"373","NER","Niger",1,"1994 - 1994",1,1994,1994
"373","NER","Niger",0,"1995 - 2019",25,1995,2019
"374","RWA","Rwanda",1,"1990 - 1990",1,1990,1990
"374","RWA","Rwanda",0,"2003 - 2008",6,2003,2008
"374","RWA","Rwanda",1,"2009 - 2009",1,2009,2009
"374","RWA","Rwanda",0,"2013 - 2015",3,2013,2015
"374","RWA","Rwanda",1,"2016 - 2016",1,2016,2016
"375","SEN","Senegal",1,"1990 - 1990",1,1990,1990
"375","SEN","Senegal",0,"2004 - 2010",7,2004,2010
"375","SEN","Senegal",1,"2011 - 2011",1,2011,2011
"375","SEN","Senegal",0,"2012 - 2019",8,2012,2019
"376","AZE","Azerbaijan",1,"1990 - 1990",1,1990,1990
"376","AZE","Azerbaijan",0,"1992 - 2019",28,1992,2019
"377","AZE","Azerbaijan",1,"1990 - 1990",1,1990,1990
"377","AZE","Azerbaijan",0,"1991 - 2019",29,1991,2019
"378","TTO","Trinidad & Tobago",1,"1990 - 1990",1,1990,1990
"378","TTO","Trinidad & Tobago",0,"1991 - 2019",29,1991,2019
"379","DJI","Djibouti",1,"1991 - 1991",1,1991,1991
"379","DJI","Djibouti",0,"1995 - 1998",4,1995,1998
"379","DJI","Djibouti",1,"1999 - 1999",1,1999,1999
"379","DJI","Djibouti",0,"2000 - 2019",20,2000,2019
"380","GEO","Georgia",1,"1991 - 1991",1,1991,1991
"380","GEO","Georgia",0,"1994 - 2019",26,1994,2019
"381","HTI","Haiti",1,"1989 - 1989",1,1989,1989
"381","HTI","Haiti",0,"1992 - 2003",12,1992,2003
"381","HTI","Haiti",1,"2004 - 2004",1,2004,2004
"381","HTI","Haiti",0,"2005 - 2019",15,2005,2019
"382","SLE","Sierra Leone",1,"1991 - 1991",1,1991,1991
"382","SLE","Sierra Leone",0,"2002 - 2019",18,2002,2019
"383","TUR","Turkey",1,"1991 - 1991",1,1991,1991
"383","TUR","Turkey",0,"1993 - 1994",2,1993,1994
"383","TUR","Turkey",1,"1995 - 1995",1,1995,1995
"383","TUR","Turkey",0,"1996 - 2004",9,1996,2004
"383","TUR","Turkey",1,"2005 - 2005",1,2005,2005
"383","TUR","Turkey",0,"2006 - 2015",10,2006,2015
"383","TUR","Turkey",1,"2016 - 2016",1,2016,2016
"383","TUR","Turkey",0,"2017 - 2019",3,2017,2019
"384","SVN","Slovenia",1,"1991 - 1991",1,1991,1991
"384","SVN","Slovenia",0,"1992 - 2019",28,1992,2019
"385","HRV","Croatia",1,"1991 - 1991",1,1991,1991
"385","HRV","Croatia",0,"1993 - 2019",27,1993,2019
"386","DZA","Algeria",1,"1991 - 1991",1,1991,1991
"386","DZA","Algeria",0,"2019 - 2019",1,2019,2019
"387","AGO","Angola",1,"1991 - 1991",1,1991,1991
"387","AGO","Angola",0,"1999 - 2001",3,1999,2001
"387","AGO","Angola",1,"2002 - 2002",1,2002,2002
"387","AGO","Angola",0,"2005 - 2006",2,2005,2006
"387","AGO","Angola",1,"2007 - 2007",1,2007,2007
"387","AGO","Angola",0,"2010 - 2015",6,2010,2015
"387","AGO","Angola",1,"2016 - 2016",1,2016,2016
"388","AZE","Azerbaijan",1,"1991 - 1991",1,1991,1991
"388","AZE","Azerbaijan",0,"1995 - 1996",2,1995,1996
"388","AZE","Azerbaijan",1,"1997 - 1997",1,1997,1997
"388","AZE","Azerbaijan",0,"1999 - 2004",6,1999,2004
"388","AZE","Azerbaijan",1,"2005 - 2005",1,2005,2005
"388","AZE","Azerbaijan",0,"2006 - 2007",2,2006,2007
"388","AZE","Azerbaijan",1,"2008 - 2008",1,2008,2008
"388","AZE","Azerbaijan",0,"2009 - 2011",3,2009,2011
"388","AZE","Azerbaijan",1,"2012 - 2012",1,2012,2012
"388","AZE","Azerbaijan",0,"2018 - 2019",2,2018,2019
"389","BIH","Bosnia & Herzegovina",1,"1992 - 1992",1,1992,1992
"389","BIH","Bosnia & Herzegovina",0,"1996 - 2019",24,1996,2019
"390","HRV","Croatia",1,"1992 - 1992",1,1992,1992
"390","HRV","Croatia",0,"1996 - 2019",24,1996,2019
"391","EGY","Egypt",1,"1993 - 1993",1,1993,1993
"391","EGY","Egypt",0,"1999 - 2013",15,1999,2013
"391","EGY","Egypt",1,"2014 - 2014",1,2014,2014
"391","EGY","Egypt",0,"2015 - 2016",2,2015,2016
"391","EGY","Egypt",1,"2017 - 2017",1,2017,2017
"392","GEO","Georgia",1,"1992 - 1992",1,1992,1992
"392","GEO","Georgia",0,"1994 - 2019",26,1994,2019
"393","GEO","Georgia",1,"1992 - 1992",1,1992,1992
"393","GEO","Georgia",0,"1993 - 2003",11,1993,2003
"393","GEO","Georgia",1,"2004 - 2004",1,2004,2004
"393","GEO","Georgia",0,"2005 - 2007",3,2005,2007
"393","GEO","Georgia",1,"2008 - 2008",1,2008,2008
"393","GEO","Georgia",0,"2009 - 2019",11,2009,2019
"394","MDA","Moldova",1,"1992 - 1992",1,1992,1992
"394","MDA","Moldova",0,"1993 - 2019",27,1993,2019
"395","TJK","Tajikistan",1,"1992 - 1992",1,1992,1992
"395","TJK","Tajikistan",0,"2001 - 2009",9,2001,2009
"395","TJK","Tajikistan",1,"2010 - 2010",1,2010,2010
"395","TJK","Tajikistan",0,"2012 - 2019",8,2012,2019
"396","AZE","Azerbaijan",1,"1993 - 1993",1,1993,1993
"396","AZE","Azerbaijan",0,"1996 - 2019",24,1996,2019
"397","BIH","Bosnia & Herzegovina",1,"1993 - 1993",1,1993,1993
"397","BIH","Bosnia & Herzegovina",0,"1996 - 2019",24,1996,2019
"398","BIH","Bosnia & Herzegovina",1,"1993 - 1993",1,1993,1993
"398","BIH","Bosnia & Herzegovina",0,"1995 - 2019",25,1995,2019
"399","RUS","Russia",1,"1993 - 1993",1,1993,1993
"399","RUS","Russia",0,"1994 - 2019",26,1994,2019
"400","MEX","Mexico",1,"1994 - 1994",1,1994,1994
"400","MEX","Mexico",0,"1997 - 2019",23,1997,2019
"401","RUS","Russia",1,"1994 - 1994",1,1994,1994
"401","RUS","Russia",0,"1997 - 1998",2,1997,1998
"401","RUS","Russia",1,"1999 - 1999",1,1999,1999
"401","RUS","Russia",0,"2008 - 2019",12,2008,2019
"402","YPR","South Yemen",1,"1994 - 1994",1,1994,1994
"402","YPR","South Yemen",0,"1995 - 2019",25,1995,2019
"404","PAK","Pakistan",1,"1990 - 1990",1,1990,1990
"404","PAK","Pakistan",0,"1991 - 1993",3,1991,1993
"404","PAK","Pakistan",1,"1994 - 1994",1,1994,1994
"404","PAK","Pakistan",0,"1997 - 2006",10,1997,2006
"404","PAK","Pakistan",1,"2007 - 2007",1,2007,2007
"406","NER","Niger",1,"1995 - 1995",1,1995,1995
"406","NER","Niger",0,"1996 - 2019",24,1996,2019
"407","COM","Comoros",1,"1997 - 1997",1,1997,1997
"407","COM","Comoros",0,"1998 - 2019",22,1998,2019
"408","COG","Congo - Brazzaville",1,"1993 - 1993",1,1993,1993
"408","COG","Congo - Brazzaville",0,"1994 - 1996",3,1994,1996
"408","COG","Congo - Brazzaville",1,"1997 - 1997",1,1997,1997
"408","COG","Congo - Brazzaville",0,"2000 - 2001",2,2000,2001
"408","COG","Congo - Brazzaville",1,"2002 - 2002",1,2002,2002
"408","COG","Congo - Brazzaville",0,"2003 - 2015",13,2003,2015
"408","COG","Congo - Brazzaville",1,"2016 - 2016",1,2016,2016
"408","COG","Congo - Brazzaville",0,"2017 - 2019",3,2017,2019
"410","GNB","Guinea-Bissau",1,"1998 - 1998",1,1998,1998
"410","GNB","Guinea-Bissau",0,"2000 - 2019",20,2000,2019
"411","LSO","Lesotho",1,"1998 - 1998",1,1998,1998
"411","LSO","Lesotho",0,"1999 - 2019",21,1999,2019
"412","SRB","Serbia",1,"1998 - 1998",1,1998,1998
"412","SRB","Serbia",0,"2000 - 2019",20,2000,2019
"413","ETH","Ethiopia",1,"1977 - 1977",1,1977,1977
"413","ETH","Ethiopia",0,"1996 - 1997",2,1996,1997
"413","ETH","Ethiopia",1,"1998 - 1998",1,1998,1998
"413","ETH","Ethiopia",0,"2017 - 2019",3,2017,2019
"414","RUS","Russia",1,"1999 - 1999",1,1999,1999
"414","RUS","Russia",0,"2000 - 2019",20,2000,2019
"415","UZB","Uzbekistan",1,"1999 - 1999",1,1999,1999
"415","UZB","Uzbekistan",0,"2001 - 2003",3,2001,2003
"415","UZB","Uzbekistan",1,"2004 - 2004",1,2004,2004
"415","UZB","Uzbekistan",0,"2005 - 2019",15,2005,2019
"416","CAF","Central African Republic",1,"2001 - 2001",1,2001,2001
"416","CAF","Central African Republic",0,"2003 - 2005",3,2003,2005
"416","CAF","Central African Republic",1,"2006 - 2006",1,2006,2006
"416","CAF","Central African Republic",0,"2007 - 2008",2,2007,2008
"416","CAF","Central African Republic",1,"2009 - 2009",1,2009,2009
"416","CAF","Central African Republic",0,"2014 - 2017",4,2014,2017
"416","CAF","Central African Republic",1,"2018 - 2018",1,2018,2018
"417","MKD","North Macedonia",1,"2001 - 2001",1,2001,2001
"417","MKD","North Macedonia",0,"2002 - 2019",18,2002,2019
"418","USA","United States",1,"2001 - 2001",1,2001,2001
"419","CIV","Côte d’Ivoire",1,"2002 - 2002",1,2002,2002
"419","CIV","Côte d’Ivoire",0,"2005 - 2010",6,2005,2010
"419","CIV","Côte d’Ivoire",1,"2011 - 2011",1,2011,2011
"419","CIV","Côte d’Ivoire",0,"2012 - 2019",8,2012,2019
"421","IND","India",1,"1989 - 1989",1,1989,1989
"421","IND","India",0,"1991 - 1993",3,1991,1993
"421","IND","India",1,"1994 - 1994",1,1994,1994
"421","IND","India",0,"2005 - 2008",4,2005,2008
"421","IND","India",1,"2009 - 2009",1,2009,2009
"421","IND","India",0,"2011 - 2012",2,2011,2012
"421","IND","India",1,"2013 - 2013",1,2013,2013
"421","IND","India",0,"2015 - 2019",5,2015,2019
"422","MMR","Myanmar (Burma)",1,"1997 - 1997",1,1997,1997
"422","MMR","Myanmar (Burma)",0,"1998 - 2019",22,1998,2019
"423","THA","Thailand",1,"2003 - 2003",1,2003,2003
"424","NGA","Nigeria",1,"2004 - 2004",1,2004,2004
"424","NGA","Nigeria",0,"2005 - 2019",15,2005,2019
"425","NGA","Nigeria",1,"2004 - 2004",1,2004,2004
"425","NGA","Nigeria",0,"2005 - 2019",15,2005,2019
"426","ISR","Israel",1,"1990 - 1990",1,1990,1990
"426","ISR","Israel",0,"2000 - 2005",6,2000,2005
"426","ISR","Israel",1,"2006 - 2006",1,2006,2006
"426","ISR","Israel",0,"2007 - 2019",13,2007,2019
"428","MRT","Mauritania",1,"1975 - 1975",1,1975,1975
"428","MRT","Mauritania",0,"1979 - 2019",41,1979,2019
"429","COD","Congo - Kinshasa",1,"2007 - 2007",1,2007,2007
"429","COD","Congo - Kinshasa",0,"2009 - 2016",8,2009,2016
"429","COD","Congo - Kinshasa",1,"2017 - 2017",1,2017,2017
"429","COD","Congo - Kinshasa",0,"2018 - 2019",2,2018,2019
"430","NER","Niger",1,"1991 - 1991",1,1991,1991
"430","NER","Niger",0,"1993 - 1996",4,1993,1996
"430","NER","Niger",1,"1997 - 1997",1,1997,1997
"430","NER","Niger",0,"1998 - 2006",9,1998,2006
"430","NER","Niger",1,"2007 - 2007",1,2007,2007
"430","NER","Niger",0,"2009 - 2019",11,2009,2019
"432","RUS","Russia",1,"2007 - 2007",1,2007,2007
"432","RUS","Russia",0,"2016 - 2019",4,2016,2019
"434","IND","India",1,"2008 - 2008",1,2008,2008
"434","IND","India",0,"2009 - 2019",11,2009,2019
"436","ETH","Ethiopia",1,"1977 - 1977",1,1977,1977
"436","ETH","Ethiopia",0,"1981 - 2019",39,1981,2019
"437","ETH","Ethiopia",1,"1981 - 1981",1,1981,1981
"437","ETH","Ethiopia",0,"1984 - 2019",36,1984,2019
"439","MMR","Myanmar (Burma)",1,"2009 - 2009",1,2009,2009
"439","MMR","Myanmar (Burma)",0,"2010 - 2013",4,2010,2013
"439","MMR","Myanmar (Burma)",1,"2014 - 2014",1,2014,2014
"439","MMR","Myanmar (Burma)",0,"2018 - 2019",2,2018,2019
"440","MMR","Myanmar (Burma)",1,"1973 - 1973",1,1973,1973
"440","MMR","Myanmar (Burma)",0,"1983 - 2019",37,1983,2019
"442","MRT","Mauritania",1,"2010 - 2010",1,2010,2010
"442","MRT","Mauritania",0,"2012 - 2019",8,2012,2019
"11342","IND","India",1,"2012 - 2012",1,2012,2012
"11342","IND","India",0,"2015 - 2019",5,2015,2019
"11344","SDN","Sudan",1,"2011 - 2011",1,2011,2011
"11344","SDN","Sudan",0,"2012 - 2019",8,2012,2019
"11345","SSD","South Sudan",1,"2011 - 2011",1,2011,2011
"11346","LBY","Libya",1,"2011 - 2011",1,2011,2011
"11347","MLI","Mali",1,"2009 - 2009",1,2009,2009
"11347","MLI","Mali",0,"2010 - 2011",2,2010,2011
"11347","MLI","Mali",1,"2012 - 2012",1,2012,2012
"11349","CHN","China",1,"2008 - 2008",1,2008,2008
"11349","CHN","China",0,"2009 - 2019",11,2009,2019
"11350","BGD","Bangladesh",1,"2005 - 2005",1,2005,2005
"11350","BGD","Bangladesh",0,"2007 - 2019",13,2007,2019
"11447","ETH","Ethiopia",1,"1991 - 1991",1,1991,1991
"11447","ETH","Ethiopia",0,"1992 - 2019",28,1992,2019
"11475","MMR","Myanmar (Burma)",1,"1991 - 1991",1,1991,1991
"11475","MMR","Myanmar (Burma)",0,"1992 - 1994",3,1992,1994
"11475","MMR","Myanmar (Burma)",1,"1995 - 1995",1,1995,1995
"11475","MMR","Myanmar (Burma)",0,"1996 - 1999",4,1996,1999
"11475","MMR","Myanmar (Burma)",1,"2000 - 2000",1,2000,2000
"11475","MMR","Myanmar (Burma)",0,"2002 - 2004",3,2002,2004
"11475","MMR","Myanmar (Burma)",1,"2005 - 2005",1,2005,2005
"11475","MMR","Myanmar (Burma)",0,"2008 - 2019",12,2008,2019
"11487","MYS","Malaysia",1,"2013 - 2013",1,2013,2013
"11487","MYS","Malaysia",0,"2014 - 2019",6,2014,2019
"11884","IND","India",1,"1947 - 1947",1,1947,1947
"11884","IND","India",0,"1949 - 2019",71,1949,2019
"13042","SYR","Syria",1,"2012 - 2012",1,2012,2012
"13042","SYR","Syria",0,"2016 - 2019",4,2016,2019
"13219","UKR","Ukraine",1,"2014 - 2014",1,2014,2014
"13219","UKR","Ukraine",0,"2015 - 2019",5,2015,2019
"13246","UKR","Ukraine",1,"2014 - 2014",1,2014,2014
"13246","UKR","Ukraine",0,"2015 - 2019",5,2015,2019
"13247","UKR","Ukraine",1,"2014 - 2014",1,2014,2014
"13247","UKR","Ukraine",0,"2015 - 2019",5,2015,2019
"13306","UKR","Ukraine",1,"2014 - 2014",1,2014,2014
"13588","RUS","Russia",1,"2015 - 2015",1,2015,2015
"13604","SYR","Syria",1,"2013 - 2013",1,2013,2013
"13611","MLI","Mali",1,"2015 - 2015",1,2015,2015
"13611","MLI","Mali",0,"2016 - 2019",4,2016,2019
"13637","AFG","Afghanistan",1,"2015 - 2015",1,2015,2015
"13638","CMR","Cameroon",1,"2015 - 2015",1,2015,2015
"13638","CMR","Cameroon",0,"2017 - 2018",2,2017,2018
"13638","CMR","Cameroon",1,"2019 - 2019",1,2019,2019
"13639","NER","Niger",1,"2015 - 2015",1,2015,2015
"13640","TCD","Chad",1,"2015 - 2015",1,2015,2015
"13641","NGA","Nigeria",1,"2015 - 2015",1,2015,2015
"13645","YAR","North Yemen",1,"2015 - 2015",1,2015,2015
"13645","YAR","North Yemen",0,"2018 - 2019",2,2018,2019
"13646","KEN","Kenya",1,"2015 - 2015",1,2015,2015
"13648","EGY","Egypt",1,"2015 - 2015",1,2015,2015
"13653","IND","India",1,"2015 - 2015",1,2015,2015
"13653","IND","India",0,"2019 - 2019",1,2019,2019
"13674","BGD","Bangladesh",1,"2016 - 2016",1,2016,2016
"13674","BGD","Bangladesh",0,"2018 - 2019",2,2018,2019
"13675","LBN","Lebanon",1,"2014 - 2014",1,2014,2014
"13675","LBN","Lebanon",0,"2018 - 2019",2,2018,2019
"13694","LBY","Libya",1,"2015 - 2015",1,2015,2015
"13721","DZA","Algeria",1,"2015 - 2015",1,2015,2015
"13721","DZA","Algeria",0,"2016 - 2019",4,2016,2019
"13809","SYR","Syria",1,"2016 - 2016",1,2016,2016
"13809","SYR","Syria",0,"2019 - 2019",1,2019,2019
"13840","BFA","Burkina Faso",1,"2019 - 2019",1,2019,2019
"13886","JOR","Jordan",1,"2016 - 2016",1,2016,2016
"13886","JOR","Jordan",0,"2017 - 2019",3,2017,2019
"13902","TUR","Turkey",1,"2015 - 2015",1,2015,2015
"13902","TUR","Turkey",0,"2018 - 2019",2,2018,2019
"13936","PAK","Pakistan",1,"2016 - 2016",1,2016,2016
"14074","SOM","Somalia",1,"2018 - 2018",1,2018,2018
"14074","SOM","Somalia",0,"2019 - 2019",1,2019,2019
"14113","MLI","Mali",1,"2017 - 2017",1,2017,2017
"14129","CMR","Cameroon",1,"2017 - 2017",1,2017,2017
"14197","SOM","Somalia",1,"2019 - 2019",1,2019,2019
"14268","IRN","Iran",1,"2017 - 2017",1,2017,2017
"14268","IRN","Iran",0,"2018 - 2019",2,2018,2019
"14275","PHL","Philippines",1,"2016 - 2016",1,2016,2016
"14333","TUN","Tunisia",1,"2016 - 2016",1,2016,2016
"14333","TUN","Tunisia",0,"2017 - 2019",3,2017,2019
"14845","MOZ","Mozambique",1,"2019 - 2019",1,2019,2019
"14935","ETH","Ethiopia",1,"2019 - 2019",1,2019,2019
